,state,district,avg_job_score,job_count,avg_house_score,house_count,job_score_norm,house_score_norm
114,Selangor,Jenjarom,0.44495943760163287,12,0.31756512208042037,9,0.23232066947426278,0.2942194759734771
115,Selangor,Kajang,0.5024137703976179,141,0.32838689551177597,427,0.32767955425123574,0.3743260383491629
116,Selangor,Kapar,0.5288322865200711,42,0.33419100857898737,12,0.37152725228029815,0.4172901189042908
117,Selangor,Klang,0.5311756522367262,257,0.3411854367899286,226,0.3754166150226751,0.46906532962331937
118,Selangor,Kuala Selangor,0.47607269622494575,9,0.32899385391162367,4,0.28396038922580746,0.3788189572986549
119,Selangor,Petaling Jaya,0.5792649180598871,786,0.3060028763753066,138,0.4552319837769089,0.2086316781273272
120,Selangor,Puchong,0.5645082470869861,236,0.33437364232526867,313,0.43073984160908785,0.4186420379479845
121,Selangor,Rawang,0.4814626395404944,87,0.34771827231474656,121,0.29290625907703194,0.517423669388835
122,Selangor,Semenyih,0.4739234190905883,48,0.33764458993510577,190,0.28039316181866414,0.44285473935012387
123,Selangor,Sepang,0.484356101124051,65,0.34158768208521867,127,0.29770863439540396,0.4720428903754339
124,Selangor,Serdang,0.5284862563937827,7,0.3903445477597369,1,0.37095293446410715,0.8329583102161426
125,Selangor,Serendah,0.5784810676280921,5,0.3949258387410611,3,0.45393100090285243,0.8668706328206124
126,Selangor,Seri Kembangan,0.4886812960671776,125,0.31420232294924966,223,0.30488730563128985,0.2693268573960541
127,Selangor,Shah Alam,0.5453545240693689,624,0.31670943110392896,443,0.398949764561763,0.2878853512556181
128,Selangor,Subang Jaya,0.5463901126834303,163,0.30728442447693477,87,0.40066856574731124,0.21811814664301998
129,Selangor,Sungai Buloh,0.4986796959733028,47,0.3416466723611124,37,0.3214819855832416,0.4724795570868019
