Name,Price,Size,Number of beds,Number of bathrooms,Type,Furnished Status,Location,District,State,Facilities,Public transport
"Traders Park Residence, Cheras, Selangor","1,900",604,2,2,Service Residence,Fully Furnished,"Jalan Suakasih, 43200 Cheras, Selangor",Cheras,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"V Residence Suites @ Sunway Velocity, Cheras, Kuala Lumpur","2,750",693,2,1,Service Residence,Fully Furnished,"Lingkaran SV1 Sunway Velocity, 55100 Cheras, Kuala Lumpur",Cheras,Kuala Lumpur,"Security, Swimming Pool, Playground, Gymnasium",False
"Riveria Bay Apartments, Kota Samarahan, Sarawak","1,300",947,2,2,Apartment,Fully Furnished,"Jalan Tiya Vista, Off Kuching - Samarahan Expressway, 94300 Kota Samarahan, Sarawak",Kota Samarahan,Sarawak,"Parking, Security, Playground, Minimart, Jogging Track",False
"Durian Tunggal, Melaka","1,500","2,880",5,3,Semi-Detached House,Not Furnished,,,,,False
"Avona Residence, Kuching, Sarawak","2,900",796,2,2,Service Residence,Fully Furnished,"The Northbank, Off Kuching - Samarahan Expressway, 93350 Kuching, Sarawak",Kuching,Sarawak,"Swimming Pool, Playground, Gymnasium, Barbeque area, Tennis Court",False
"Sky Suites @ KLCC, KLCC, Kuala Lumpur","3,600",750,2,2,Service Residence,Fully Furnished,"Jalan P. Ramlee, 50250 KLCC, Kuala Lumpur",KLCC,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Gymnasium, Sauna",False
"Bukit Mertajam, Penang","1,600","1,800",4,3,2-storey Terraced House,Partially Furnished,,,,Parking,False
"Putrajaya, Putrajaya","4,300","3,000",4,3,2-storey Terraced House,Fully Furnished,,,,,False
"Arc @ Austin Hills, Johor Bahru, Johor","1,300","1,000",3,2,Service Residence,Partially Furnished,"Jalan Sagu 36, Taman Daya, 81100 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",False
"Ceria Residence, Cyberjaya, Selangor","2,000","1,000",3,2,Condominium,Fully Furnished,"Jalan Ceria, Off Persiaran Sepang, 63000 Cyberjaya, Selangor",Cyberjaya,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Klebang 8, Melaka City, Melaka","1,350","1,119",3,2,Condominium,Fully Furnished,"No.10, Jalan Klebang Besar, 75200 Melaka City, Melaka",Melaka City,Melaka,"Parking, Security, Lift, Swimming Pool",False
"KSL Residences @ Daya, Johor Bahru, Johor","1,500",480,1,1,Service Residence,Fully Furnished,"Jalan Delima 3/1, Off Jalan Daya, Taman Delima, 81100 Johor Bahru, Johor",Johor Bahru,Johor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Multipurpose hall, Jogging Track",False
"N-Park Condominium, Gelugor, Penang","1,200",750,3,2,Condominium,Fully Furnished,"Jalan Batu Uban, Kampung Batu Uban, 11700 Gelugor, Penang",Gelugor,Penang,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Metia Residence, Shah Alam, Selangor","2,500","1,370",3,2,Service Residence,Fully Furnished,"Persiaran Sukan, Seksyen 13, 40100 Shah Alam, Selangor",Shah Alam,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Enesta, Kepong, Kuala Lumpur","2,150","1,136",3,2,Service Residence,Fully Furnished,"Pintasan Segambut, Taman Jinjang Baru, 52000 Kepong, Kuala Lumpur",Kepong,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall",False
