job_id,title,company,location,salary,date_posted,contractType,source
fbf633df96d9402ca3cc9a2039083a46,Despatch/General Worker (Toyota Kulim),Telagamas Motors Sdn. Bhd.,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_kulim', 'POSTAL_CODE': 'MY_09000'}",1700,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
474a4d23bc2b44faabe71fad6f47a24b,Digital Marketing ,RedRadar International Sdn Bhd,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",2500,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
78f91319b2b149d9952ec0a4c6e7a69a,HUMAN RESOURCES ASSISTANT,USAHA FADZILAT INDUSTRIES SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",1700,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
187a2bbd06d842728449784bb46fb06e,Senior HR Executive,HOME PIN (M) SDN. BHD.,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",4500,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
ff6ef2f7943e46c3a03dc2c38169e383,Account Executive,YS DIGITAL SDN. BHD.,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05100'}",2000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
4baa8de9609b40718220731bb0efa7cf,EKSEKUTIF AKAUN,HR MANUFACTURING SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05710'}",1700,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
24f58136132b42f08cb18c108c93bbc7,ASSISTANT MANAGER,DYNASUN SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05100'}",2200,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
113f6a702f9c40d7a51dcf75fb498dab,SALES & MARKETING OFFICER,PUREST HOTEL ,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",1800,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
e1fd885a0cca48f885a7b1e340575d0f,Retail Sales Assistant SUNGAI PETANI,BAN HIN BEE SDN BHD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",2000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
fa248242616942bfac8f84d00988b750,"Engineer, Quality Assurance & Quality Control (Construction)",OSK HOLDINGS BERHAD,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",3600,,"{'id': '4', 'name': 'Contract'}",MyFutureJobs
6e86176f89744e139974928b7f0d7907,Purchasing Assistant,U-SONICS POWER CONE SDN BHD,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",1900,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
7d2dc6852e914f87a6556366c25f4213,Stock clerk + runner - alor setar branch,YS DIGITAL SDN. BHD.,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_alor_setar', 'POSTAL_CODE': 'MY_05100'}",1700,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
2ac3e2a09b8e4a55b0dfb50015ad63a6,Content Creator,RedRadar International Sdn Bhd,"{'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",2000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
363aa4d4234647259a56a1566a5c2eea,Senior Account Executive,HOME PIN (M) SDN. BHD.,"{'COUNTRY': 'MY', 'STATE': 'MY_KDH', 'CITY': 'MY_KDH_sungai_petani', 'POSTAL_CODE': 'MY_08000'}",3000,,"{'id': '1', 'name': 'Permanent'}",MyFutureJobs
