Name,Price,Size,Number of beds,Number of bathrooms,Type,Furnished Status,Location,District,State,Facilities,Public transport
"Jazz Suites @ Vivacity, Kuching, Sarawak",7500,1,5.0,5.0,Condominium,Fully Furnished,"Jalan Wan Alwi, Tabuan Jaya, 93350 Kuching, Sarawak",Kuching,Sarawak,"Parking, Security, Swimming Pool",False
"Rawang, Selangor",2300,2325,5.0,4.0,2-storey Terraced House,Partially Furnished,"Rawang, Selangor",Rawang,Selangor,"Parking, Security, Swimming Pool, Playground, Gymnasium, Minimart",False
"TWY Duplex Condos @ Mont Kiara, Mont Kiara, Kuala Lumpur",2600,662,1.0,1.0,Condominium,Fully Furnished,"Jalan Duta Kiara, 50480 Mont Kiara, Kuala Lumpur",Mont Kiara,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna",False
"Kiara Plaza, Semenyih, Selangor",1000,450,1.0,1.0,Service Residence,Fully Furnished,"Off Jalan Semenyih, 43500 Semenyih, Selangor",Semenyih,Selangor,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"The Henge Kepong, Kepong, Kuala Lumpur",1800,1100,3.0,2.0,Condominium,Partially Furnished,"Jalan Metro Perdana Barat, 52100 Kepong, Kuala Lumpur",Kepong,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Ketumbar Heights, Cheras, Kuala Lumpur",1300,903,4.0,2.0,Condominium,Fully Furnished,"Jalan 6/95B, Taman Cheras, 56100 Cheras, Kuala Lumpur",Cheras,Kuala Lumpur,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium",False
"Johor Bahru, Johor",4000,2683,5.0,6.0,2-storey Terraced House,Fully Furnished,"Johor Bahru, Johor",Johor Bahru,Johor,None,False
"Skudai, Johor",1500,1540,3.0,2.0,2-storey Terraced House,Not Furnished,"Skudai, Johor",Skudai,Johor,None,False
"Sri Dahlia Apartment (Kajang), Kajang, Selangor",1100,987,3.0,1.0,Apartment,Partially Furnished,"Jalan Sepakat Indah 2/1, Taman Sepakat Indah 2, 43000 Kajang, Selangor",Kajang,Selangor,"Parking, Security, Lift, Playground, Multipurpose hall, Jogging Track",False
"Bukit Citra Residensi, Nilai, Negeri Sembilan",900,1020,3.0,2.0,Apartment,Not Furnished,"Jalan Bukit Citra 10/1, 71700 Nilai, Negeri Sembilan",Nilai,Negeri Sembilan,"Parking, Security, Playground, Jogging Track",False
